LCL#,Author,Title,Lang,Perseus Orig Text,Perseus Eng Trans,TLG/PHI ID,Notes
G001,Apollonius Rhodius,Argonautica,Gk,Y,Y,tlg0001,
G002,Appian,Roman History I (Bks 1-8.1),Gk,Y,Y,tlg0551,
G003,Appian,Roman History II (Bks 8.2-12),Gk,Y,Y,tlg0551,
G004,Appian,Roman History III (Civil Wars Bks 1-3.26),Gk,Y,Y,tlg0551,
G005,Appian,Roman History IV (Civil Wars Bks 3.27-5),Gk,Y,Y,tlg0551,
G009,Euripides,"Vol I (old ed: Iphigenia/Aulis, Rhesus, Hecuba, etc.)",Gk,Y,Y,tlg0006,Old ed numbering; new ed L484 etc.
G010,Euripides,"Vol II (old: Electra, Orestes, Iphigenia/Taurica, etc.)",Gk,Y,Y,tlg0006,
G011,Euripides,"Vol III (old: Bacchae, Heracles, etc.)",Gk,Y,Y,tlg0006,
G012,Euripides,"Vol I (new: Cyclops, Alcestis, Medea)",Gk,Y,Y,tlg0006,
G013,Julian,Works I: Orations 1-5,Gk,N,N,tlg2003,
G014,Lucian,Works I,Gk,Y,N,tlg0062,Greek in Perseus
G016,Philostratus,Life of Apollonius of Tyana I,Gk,Y,N,tlg0638,
G017,Philostratus,Life of Apollonius of Tyana II,Gk,Y,N,tlg0638,
G019,Quintus Smyrnaeus,Fall of Troy (Posthomerica),Gk,Y,N,tlg1900,Greek only
G020,Sophocles,Vol I: Ajax. Electra. Oedipus Tyrannus,Gk,Y,Y,tlg0011,
G021,Sophocles,Vol II: Antigone. Trachiniae. Philoctetes. Oedipus at Colonus,Gk,Y,Y,tlg0011,
G024,Apostolic Fathers,Vol I: I-II Clement. Ignatius. Polycarp. Didache,Gk,Y,N,,Greek in Perseus
G025,Apostolic Fathers,Vol II: Barnabas. Shepherd of Hermas. etc.,Gk,Y,N,,
G028,Theocritus/Bion/Moschus,Greek Bucolic Poets,Gk,Y,Y,tlg0005,
G029,Julian,Works II: Orations 6-8. Letters. Caesars. Misopogon,Gk,N,N,tlg2003,
G032,Dio Cassius,Roman History I (Fragments Bks 1-11),Gk,Y,Y,tlg0385,
G034,John Damascene,Barlaam and Ioasaph,Gk,N,N,,
G036,Plato,I: Euthyphro. Apology. Crito. Phaedo. Phaedrus,Gk,Y,Y,tlg0059,
G037,Dio Cassius,Roman History II (Fragments Bks 12-35),Gk,Y,Y,tlg0385,
G045,Achilles Tatius,Leucippe and Clitophon,Gk,N,N,tlg0532,
G046,Plutarch,Lives I: Theseus/Romulus. Lycurgus/Numa. Solon/Publicola,Gk,Y,Y,tlg0007,
G047,Plutarch,Lives II: Themistocles/Camillus. Aristides/Cato. Cimon/Lucullus,Gk,Y,Y,tlg0007,
G048,Procopius,"Wars I (Bks 1-2, Persian War)",Gk,N,N,tlg4029,
G049,Strabo,Geography I (Bks 1-2),Gk,Y,Y,tlg0099,
G050,Strabo,Geography II (Bks 3-5),Gk,Y,Y,tlg0099,
G051,Xenophon,Cyropaedia I (Bks 1-4),Gk,Y,Y,tlg0032,
G052,Xenophon,Cyropaedia II (Bks 5-8),Gk,Y,Y,tlg0032,
G053,Dio Cassius,Roman History III (Bks 36-40),Gk,Y,Y,tlg0385,
G054,Lucian,Works II,Gk,Y,N,tlg0062,
G056,Pindar,Olympian Odes. Pythian Odes,Gk,Y,Y,tlg0033,
G057,Hesiod,Theogony. Works and Days. Testimonia,Gk,Y,Y,tlg0020,
G058,Marcus Aurelius,Meditations,Gk,Y,N,tlg0562,Greek in Perseus
G065,Plutarch,Lives III: Pericles/Fabius. Nicias/Crassus,Gk,Y,Y,tlg0007,
G066,Dio Cassius,Roman History IV (Bks 41-45),Gk,Y,Y,tlg0385,
G067,[Various],Greek Anthology I (Bks 1-6),Gk,P,N,,Some epigrams in Perseus
G068,[Various],Greek Anthology II (Bks 7-8),Gk,P,N,,
G069,Longus,Daphnis and Chloe. Xenophon of Ephesus,Gk,Y,N,tlg0561,
G070,Theophrastus,Enquiry into Plants I (Bks 1-5),Gk,Y,N,tlg0093,Greek in Perseus
G071,Galen,On the Natural Faculties,Gk,Y,N,tlg0057,Greek in Perseus
G073,Aristotle,Nicomachean Ethics,Gk,Y,Y,tlg0086,
G079,Theophrastus,Enquiry into Plants II (Bks 6-9),Gk,Y,N,tlg0093,
G080,Plutarch,Lives IV: Alcibiades/Coriolanus. Lysander/Sulla,Gk,Y,Y,tlg0007,
G081,Procopius,"Wars II (Bks 3-4, Vandalic War)",Gk,N,N,tlg4029,
G082,Dio Cassius,Roman History V (Bks 46-50),Gk,Y,Y,tlg0385,
G083,Dio Cassius,Roman History VI (Bks 51-55),Gk,Y,Y,tlg0385,
G084,[Various],Greek Anthology III (Bk 9),Gk,P,N,,
G085,[Various],Greek Anthology IV (Bks 10-12),Gk,P,N,,
G086,[Various],Greek Anthology V (Bks 13-16),Gk,P,N,,
G087,Plutarch,Lives V: Agesilaus/Pompey. Pelopidas/Marcellus,Gk,Y,Y,tlg0007,
